dns,time
103.979,16.6317
103.979,16.6484
103.979,16.665
89.288,16.6816
89.288,16.6984
89.288,16.7151
89.288,16.7317
89.288,16.7484
89.288,16.765
89.288,16.7818
89.288,16.7984
89.288,16.8149
89.288,16.8317
89.288,16.8484
89.288,16.865
89.288,16.8817
89.288,16.8983
89.288,16.9151
89.288,16.9317
89.288,16.9485
89.288,16.9651
89.288,16.982
89.288,16.9985
89.288,17.015
89.288,17.0318
89.288,17.0484
89.288,17.0652
89.288,17.0817
89.288,17.0985
89.288,17.115
89.288,17.1317
89.288,17.1483
89.288,17.165
89.288,17.1821
89.288,17.1984
89.288,17.215
89.288,17.2317
89.288,17.2484
89.288,17.2651
89.288,17.2817
89.288,17.2983
89.288,17.3151
89.288,17.3317
89.288,17.3485
89.288,17.365
89.288,17.3818
89.288,17.3984
89.288,17.4151
89.288,17.4318
89.288,17.4484
89.288,17.4651
89.288,17.4817
24.4479,17.4985
24.4479,17.5151
24.4479,17.5317
24.4479,17.5483
24.4479,17.5651
24.4479,17.5819
24.4479,17.5984
24.4479,17.6151
24.4479,17.6318
24.4479,17.6484
24.4479,17.665
24.4479,17.6817
24.4479,17.6984
24.4479,17.7151
24.4479,17.7317
24.4479,17.7484
24.4479,17.7651
24.4479,17.7817
24.4479,17.7985
24.4479,17.815
24.4479,17.8318
24.4479,17.8484
24.4479,17.8655
24.4479,17.8818
24.4479,17.8984
24.4479,17.9151
24.4479,17.9317
24.4479,17.9486
24.4479,17.9651
24.4479,17.9817
24.4479,17.9984
24.4479,18.015
24.4479,18.032
24.4479,18.0484
24.4479,18.065
24.4479,18.0818
24.4479,18.0984
24.4479,18.115
24.4479,18.1318
24.4479,18.1484
24.4479,18.1651
24.4479,18.1817
24.4479,18.1985
24.4479,18.2151
24.4479,18.2317
24.4479,18.2485
24.4479,18.265
24.4479,18.2818
24.4479,18.2984
24.4479,18.315
24.2414,18.3318
24.2414,18.3484
24.2414,18.3651
24.2414,18.3818
24.2414,18.3987
24.2414,18.415
24.2414,18.4317
24.2414,18.4483
24.2414,18.465
24.2414,18.4817
24.2414,18.4984
24.2414,18.5151
24.2414,18.5317
24.2414,18.5484
24.2414,18.5651
24.2414,18.5817
24.2414,18.5989
24.2414,18.6151
24.2414,18.6317
24.2414,18.6485
24.2414,18.6651
24.2414,18.6819
24.2414,18.6984
24.2414,18.715
24.2414,18.7318
24.2414,18.7484
24.2414,18.765
24.2414,18.7816
24.2414,18.7984
24.2414,18.815
24.2414,18.8317
24.2414,18.8484
24.2414,18.8651
24.2414,18.8817
24.2414,18.8989
24.2414,18.9151
24.2414,18.9317
24.2414,18.9485
24.2414,18.965
24.2414,18.9818
24.2414,18.9984
24.2414,19.015
24.2414,19.0318
24.2414,19.0484
24.2414,19.0655
24.2414,19.0818
24.2414,19.0984
24.2414,19.1151
24.2414,19.1317
24.2414,19.1484
23.9604,19.1651
23.9604,19.1817
23.9604,19.1986
23.9604,19.215
23.9604,19.2317
23.9604,19.2484
23.9604,19.265
23.9604,19.2817
23.9604,19.2984
23.9604,19.315
23.9604,19.3318
23.9604,19.3484
23.9604,19.3651
23.9604,19.3817
23.9604,19.3985
23.9604,19.415
23.9604,19.4317
23.9604,19.4485
23.9604,19.465
23.9604,19.4818
23.9604,19.4984
23.9604,19.5152
23.9604,19.5317
23.9604,19.5484
23.9604,19.5651
23.9604,19.5817
23.9604,19.5984
23.9604,19.6151
23.9604,19.6317
23.9604,19.6485
23.9604,19.6651
23.9604,19.6818
23.9604,19.6984
23.9604,19.715
23.9604,19.7318
23.9604,19.7484
23.9604,19.7652
23.9604,19.7818
23.9604,19.7984
23.9604,19.8151
23.9604,19.8317
23.9604,19.8483
23.9604,19.8651
23.9604,19.8817
23.9604,19.8985
23.9604,19.915
23.9604,19.9318
23.9604,19.9484
23.9604,19.965
24.6395,19.9818
24.6395,19.9984
24.6395,20.015
24.6395,20.0318
24.6395,20.0484
24.6395,20.0651
24.6395,20.0817
24.6395,20.0986
24.6395,20.1151
24.6395,20.1317
24.6395,20.1484
24.6395,20.165
24.6395,20.182
24.6395,20.1984
24.6395,20.215
24.6395,20.2317
24.6395,20.2484
24.6395,20.2652
24.6395,20.2818
24.6395,20.2988
24.6395,20.315
24.6395,20.3317
24.6395,20.3486
24.6395,20.365
24.6395,20.3818
24.6395,20.3984
24.6395,20.4151
24.6395,20.4317
24.6395,20.4484
24.6395,20.4651
24.6395,20.4817
24.6395,20.4985
24.6395,20.5151
24.6395,20.5317
24.6395,20.5484
24.6395,20.565
24.6395,20.5818
24.6395,20.5984
24.6395,20.6152
24.6395,20.6318
24.6395,20.6484
24.6395,20.665
24.6395,20.6817
24.6395,20.6985
24.6395,20.7151
24.6395,20.7318
24.6395,20.7484
24.6395,20.7651
24.7244,20.7818
24.7244,20.7984
24.7244,20.8154
24.7244,20.8316
24.7244,20.8484
24.7244,20.8651
24.7244,20.8817
24.7244,20.8985
24.7244,20.9151
24.7244,20.9319
24.7244,20.9484
24.7244,20.9651
24.7244,20.9819
24.7244,20.9984
24.7244,21.015
24.7244,21.0318
24.7244,21.0484
24.7244,21.065
24.7244,21.0817
24.7244,21.0984
24.7244,21.1151
24.7244,21.1317
24.7244,21.1485
24.7244,21.1651
24.7244,21.1819
24.7244,21.1984
24.7244,21.2151
24.7244,21.232
24.7244,21.2484
24.7244,21.2652
24.7244,21.2818
24.7244,21.2989
24.7244,21.315
24.7244,21.3318
24.7244,21.3485
24.7244,21.3651
24.7244,21.3818
24.7244,21.3985
24.7244,21.4151
24.7244,21.4318
24.7244,21.4484
24.7244,21.4651
24.7244,21.4817
24.7244,21.4984
24.7244,21.5151
24.7244,21.5317
24.7244,21.5485
24.7244,21.5651
24.7244,21.5817
24.7846,21.5984
24.7846,21.6152
24.7846,21.6317
24.7846,21.6484
24.7846,21.6651
24.7846,21.6817
24.7846,21.6984
24.7846,21.7151
24.7846,21.7318
24.7846,21.7484
24.7846,21.7651
24.7846,21.7817
24.7846,21.7984
24.7846,21.8152
24.7846,21.8317
24.7846,21.8485
24.7846,21.8651
24.7846,21.8818
24.7846,21.8985
24.7846,21.9151
24.7846,21.9316
24.7846,21.9484
24.7846,21.9651
24.7846,21.9816
24.7846,21.9984
24.7846,22.0151
24.7846,22.0317
24.7846,22.0484
24.7846,22.0651
24.7846,22.0817
24.7846,22.0985
24.7846,22.115
24.7846,22.1317
24.7846,22.1485
24.7846,22.1651
24.7846,22.1816
24.7846,22.1984
24.7846,22.2151
24.7846,22.2318
24.7846,22.2484
24.7846,22.2653
24.7846,22.2818
24.7846,22.2984
24.7846,22.3151
24.7846,22.3317
24.7846,22.3485
24.7846,22.3651
24.7846,22.3817
24.9757,22.3985
24.9757,22.4151
24.9757,22.4318
24.9757,22.4484
24.9757,22.4651
24.9757,22.4817
24.9757,22.4986
24.9757,22.5151
24.9757,22.5317
24.9757,22.5485
24.9757,22.5651
24.9757,22.5817
24.9757,22.5984
24.9757,22.6151
24.9757,22.6318
24.9757,22.6484
24.9757,22.6653
24.9757,22.6818
24.9757,22.6984
24.9757,22.7151
24.9757,22.7318
24.9757,22.7485
24.9757,22.7651
24.9757,22.7817
24.9757,22.7984
24.9757,22.8151
24.9757,22.8318
24.9757,22.8484
24.9757,22.8651
24.9757,22.8818
24.9757,22.8984
24.9757,22.9152
24.9757,22.9317
24.9757,22.9484
24.9757,22.9652
24.9757,22.9818
24.9757,22.9987
24.9757,23.0151
24.9757,23.0317
24.9757,23.0485
24.9757,23.0651
24.9757,23.0818
24.9757,23.0984
24.9757,23.1151
24.9757,23.1318
24.9757,23.1485
24.9757,23.1654
24.9757,23.1818
24.9757,23.1989
24.5977,23.2151
24.5977,23.2317
24.5977,23.2483
24.5977,23.2651
24.5977,23.2818
24.5977,23.2984
24.5977,23.3151
24.5977,23.3317
24.5977,23.3484
24.5977,23.3656
24.5977,23.3817
24.5977,23.3989
24.5977,23.4151
24.5977,23.4317
24.5977,23.4485
24.5977,23.4651
24.5977,23.4817
24.5977,23.4983
24.5977,23.5151
24.5977,23.5318
24.5977,23.5484
24.5977,23.5652
24.5977,23.5817
24.5977,23.5984
24.5977,23.6152
24.5977,23.6318
24.5977,23.6487
24.5977,23.6651
24.5977,23.6817
24.5977,23.6985
24.5977,23.7151
24.5977,23.7318
24.5977,23.7486
24.5977,23.7651
24.5977,23.7823
24.5977,23.7984
24.5977,23.8151
24.5977,23.8318
24.5977,23.8484
24.5977,23.8652
24.5977,23.8818
24.5977,23.8984
24.5977,23.915
24.5977,23.9318
24.5977,23.9485
24.5977,23.9651
24.5977,23.9817
24.5977,23.9985
24.5977,24.0151
24.0839,24.0318
24.0839,24.0484
24.0839,24.0655
24.0839,24.0817
24.0839,24.0984
24.0839,24.1151
24.0839,24.1317
24.0839,24.1484
24.0839,24.1653
24.0839,24.1817
24.0839,24.1985
24.0839,24.2151
24.0839,24.2319
24.0839,24.2484
24.0839,24.2651
24.0839,24.2818
24.0839,24.2984
24.0839,24.3152
24.0839,24.3318
24.0839,24.3484
24.0839,24.3652
24.0839,24.3817
24.0839,24.3984
24.0839,24.4151
24.0839,24.4317
24.0839,24.4485
24.0839,24.4651
24.0839,24.4818
24.0839,24.4985
24.0839,24.5151
24.0839,24.5318
24.0839,24.5484
24.0839,24.565
24.0839,24.5818
24.0839,24.5984
24.0839,24.6151
24.0839,24.6317
24.0839,24.6485
24.0839,24.6651
24.0839,24.6817
24.0839,24.6985
24.0839,24.7151
24.0839,24.7319
24.0839,24.7485
24.0839,24.7651
24.0839,24.7818
24.0839,24.7984
24.0839,24.8152
24.0839,24.8318
24.0839,24.8489
24.3931,24.8651
24.3931,24.8817
24.3931,24.8983
24.3931,24.9151
24.3931,24.9318
24.3931,24.9485
24.3931,24.9651
24.3931,24.9818
24.3931,24.9985
24.3931,25.0151
24.3931,25.0318
24.3931,25.0485
24.3931,25.0652
24.3931,25.0818
24.3931,25.0984
24.3931,25.1151
24.3931,25.1318
24.3931,25.1483
24.3931,25.1651
24.3931,25.1818
24.3931,25.1985
24.3931,25.2151
24.3931,25.2319
24.3931,25.2485
24.3931,25.2651
24.3931,25.2819
24.3931,25.2984
24.3931,25.315
24.3931,25.3318
24.3931,25.3484
24.3931,25.3652
24.3931,25.3817
24.3931,25.3989
24.3931,25.4152
24.3931,25.4318
24.3931,25.4485
24.3931,25.4651
24.3931,25.4817
24.3931,25.4984
24.3931,25.5151
24.3931,25.5318
24.3931,25.5485
24.3931,25.565
24.3931,25.5818
24.3931,25.5984
24.3931,25.6151
24.3931,25.6317
24.3931,25.6485
24.3931,25.6651
24.3931,25.6818
23.9359,25.6985
23.9359,25.7151
23.9359,25.7318
23.9359,25.7484
23.9359,25.7652
23.9359,25.7818
23.9359,25.7989
23.9359,25.8153
23.9359,25.8317
23.9359,25.8485
23.9359,25.8651
23.9359,25.8818
23.9359,25.8985
23.9359,25.9151
23.9359,25.9318
23.9359,25.9484
23.9359,25.9651
23.9359,25.9817
23.9359,25.9986
23.9359,26.0151
23.9359,26.0318
23.9359,26.0486
23.9359,26.0651
23.9359,26.0817
23.9359,26.0984
23.9359,26.1155
23.9359,26.1317
23.9359,26.1484
23.9359,26.1652
23.9359,26.1818
23.9359,26.1986
23.9359,26.2151
23.9359,26.2318
23.9359,26.2485
23.9359,26.2651
23.9359,26.2818
23.9359,26.2984
23.9359,26.3151
23.9359,26.3319
23.9359,26.3484
23.9359,26.3655
23.9359,26.3818
23.9359,26.3984
23.9359,26.4152
23.9359,26.4318
23.9359,26.4484
23.9359,26.465
23.9359,26.4818
23.9359,26.4984
24.3025,26.5152
24.3025,26.5317
24.3025,26.5484
24.3025,26.5651
24.3025,26.5818
24.3025,26.5985
24.3025,26.6151
24.3025,26.632
24.3025,26.6485
24.3025,26.6656
24.3025,26.6818
24.3025,26.6984
24.3025,26.715
24.3025,26.7318
24.3025,26.7484
24.3025,26.7652
24.3025,26.7817
24.3025,26.7984
24.3025,26.8151
24.3025,26.8318
24.3025,26.8484
24.3025,26.8651
24.3025,26.8818
24.3025,26.8984
24.3025,26.9152
24.3025,26.9318
24.3025,26.9485
24.3025,26.9651
24.3025,26.9818
24.3025,26.9985
24.3025,27.0151
24.3025,27.032
24.3025,27.0484
24.3025,27.0651
24.3025,27.0818
24.3025,27.0984
24.3025,27.115
24.3025,27.1318
24.3025,27.1484
24.3025,27.1651
24.3025,27.1818
24.3025,27.1985
24.3025,27.2151
24.3025,27.2318
24.3025,27.2485
24.3025,27.2651
24.3025,27.2819
24.3025,27.2984
24.3025,27.3151
24.5079,27.3319
24.5079,27.3484
24.5079,27.3654
24.5079,27.3818
24.5079,27.3984
24.5079,27.4152
24.5079,27.4318
24.5079,27.4486
24.5079,27.4651
24.5079,27.4817
24.5079,27.4985
24.5079,27.5151
24.5079,27.5317
24.5079,27.5484
24.5079,27.5651
24.5079,27.5818
24.5079,27.5984
24.5079,27.6152
24.5079,27.6317
24.5079,27.6485
24.5079,27.6651
24.5079,27.6817
24.5079,27.6984
24.5079,27.7151
24.5079,27.7318
24.5079,27.7484
24.5079,27.7652
24.5079,27.7818
24.5079,27.7984
24.5079,27.8151
24.5079,27.8317
24.5079,27.8487
24.5079,27.8651
24.5079,27.8822
24.5079,27.8985
24.5079,27.9151
24.5079,27.9318
24.5079,27.9484
24.5079,27.965
24.5079,27.9818
24.5079,27.9985
24.5079,28.0151
24.5079,28.0317
24.5079,28.0485
24.5079,28.0668
24.5079,28.0822
24.5079,28.0985
24.5079,28.1151
24.9212,28.1317
24.9212,28.1484
24.9212,28.1651
24.9212,28.1818
24.9212,28.1984
24.9212,28.2152
24.9212,28.2318
24.9212,28.2485
24.9212,28.2651
24.9212,28.2817
24.9212,28.2985
24.9212,28.3151
24.9212,28.3318
24.9212,28.3485
24.9212,28.3651
24.9212,28.3818
24.9212,28.3984
24.9212,28.415
24.9212,28.4318
24.9212,28.4485
24.9212,28.4651
24.9212,28.4818
24.9212,28.4985
24.9212,28.5151
24.9212,28.5319
24.9212,28.5484
24.9212,28.5653
24.9212,28.5818
24.9212,28.5985
24.9212,28.6152
24.9212,28.6318
24.9212,28.6485
24.9212,28.6651
24.9212,28.6818
24.9212,28.6985
24.9212,28.7151
24.9212,28.7318
24.9212,28.7485
24.9212,28.7651
24.9212,28.7818
24.9212,28.7985
24.9212,28.8152
24.9212,28.8318
24.9212,28.8485
24.9212,28.8651
24.9212,28.8818
24.9212,28.8985
24.9212,28.9151
24.9748,28.9318
24.9748,28.9484
24.9748,28.9654
24.9748,28.9817
24.9748,28.9984
24.9748,29.0152
24.9748,29.0317
