dns,time
0,0.000202328
0,0.00203612
0,0.0105495
0,0.0254613
0,0.0424798
0,0.0596508
0,0.0765006
0,0.0938585
0,0.109708
0,0.126302
0,0.141557
0,0.158745
0,0.176522
0,0.191773
0,0.208186
0,0.224787
0,0.242317
0,0.259126
0,0.275461
0,0.291968
0,0.308287
0,0.325665
0,0.343579
0,0.359376
0,0.375638
0,0.391612
0,0.409575
0,0.425908
0,0.44176
0,0.459462
0,0.476814
0,0.49166
0,0.509279
0,0.525843
0,0.54299
0,0.558178
0,0.576574
0,0.591559
0,0.610112
0,0.626216
0,0.642499
0,0.658547
0,0.67638
0,0.691652
0,0.708498
0,0.725285
0,0.741436
0,0.760477
0,0.774923
0,0.793159
0,0.808994
0,0.825492
0,0.843116
0,0.858791
0,0.875584
0,0.891682
0,0.908528
0,0.924891
0,0.941692
0,0.960095
0,0.974941
0,0.99374
0,1.00838
0,1.0254
0,1.04269
0,1.05926
0,1.07527
0,1.09234
0,1.10898
0,1.12579
0,1.14192
0,1.15831
0,1.17661
0,1.19202
0,1.20996
0,1.22587
0,1.2431
0,1.25825
0,1.27673
0,1.2916
0,1.30832
0,1.32643
0,1.34331
0,1.35908
0,1.3751
0,1.3917
0,1.40919
0,1.42501
0,1.44198
12.3314,1.46011
12.3314,1.47578
12.3314,1.49339
12.3314,1.5089
12.3314,1.52622
12.3314,1.54374
12.3314,1.55813
12.3314,1.57478
12.3314,1.59211
12.3314,1.60922
12.3314,1.62605
12.3314,1.64192
12.3314,1.65856
12.3314,1.67522
12.3314,1.69169
12.3314,1.70987
12.3314,1.72646
12.3314,1.74224
12.3314,1.75992
12.3314,1.77558
12.3314,1.79347
12.3314,1.80841
12.3314,1.82527
12.3314,1.84177
12.3314,1.8586
12.3314,1.87512
12.3314,1.89201
12.3314,1.90883
12.3314,1.92672
12.3314,1.9417
12.3314,1.96008
12.3314,1.97666
12.3314,1.99298
12.3314,2.00984
12.3314,2.02561
12.3314,2.04336
12.3314,2.05908
12.3314,2.07682
12.3314,2.09183
12.3314,2.10873
12.3314,2.1254
12.3314,2.1422
12.3314,2.16037
12.3314,2.17499
12.3314,2.19169
12.3314,2.20962
12.3314,2.22482
12.3314,2.24308
12.3314,2.25984
12.3314,2.27569
12.3314,2.29237
12.3314,2.30852
12.3314,2.3261
12.3314,2.342
12.3314,2.35975
12.3314,2.3749
12.3314,2.39205
12.3314,2.40842
12.3314,2.42541
12.3314,2.44344
12.3314,2.45849
12.3314,2.47525
12.3314,2.49287
12.3314,2.50866
12.3314,2.52656
12.3314,2.54351
12.3314,2.55941
12.3314,2.57606
12.3314,2.592
12.3314,2.60955
12.3314,2.62551
12.3314,2.64332
12.3314,2.65853
12.3314,2.67569
12.3314,2.69215
12.3314,2.70928
12.3314,2.72534
12.3314,2.74189
12.3314,2.75893
12.3314,2.77658
12.3314,2.7918
12.3314,2.81007
12.3314,2.82717
12.3314,2.84318
12.3314,2.85981
14.1277,2.87576
14.1277,2.89332
14.1277,2.90929
14.1277,2.92514
14.1277,2.94227
14.1277,2.9594
14.1277,2.97592
14.1277,2.99297
14.1277,3.00867
14.1277,3.02568
14.1277,3.04275
14.1277,3.05825
14.1277,3.07492
14.1277,3.0915
14.1277,3.11015
14.1277,3.12624
14.1277,3.14286
14.1277,3.15885
14.1277,3.17659
14.1277,3.1923
14.1277,3.21017
14.1277,3.22513
14.1277,3.24201
14.1277,3.25857
14.1277,3.27534
14.1277,3.29144
14.1277,3.30871
14.1277,3.32549
14.1277,3.34326
14.1277,3.35827
14.1277,3.3767
14.1277,3.3933
14.1277,3.40947
14.1277,3.42634
14.1277,3.4421
14.1277,3.45984
14.1277,3.4756
14.1277,3.49331
14.1277,3.50829
14.1277,3.52517
14.1277,3.54182
14.1277,3.55868
14.1277,3.57684
14.1277,3.59175
14.1277,3.60863
14.1277,3.62646
14.1277,3.64191
14.1277,3.66015
14.1277,3.67672
14.1277,3.6926
14.1277,3.70938
14.1277,3.72538
14.1277,3.74297
14.1277,3.75882
14.1277,3.77655
14.1277,3.79168
14.1277,3.80858
14.1277,3.82492
14.1277,3.84198
14.1277,3.86028
14.1277,3.87515
14.1277,3.8919
14.1277,3.90969
14.1277,3.92485
14.1277,3.94325
14.1277,3.96014
14.1277,3.97618
14.1277,3.99292
14.1277,4.00888
14.1277,4.02647
14.1277,4.0424
14.1277,4.0601
14.1277,4.07526
14.1277,4.09235
14.1277,4.10875
14.1277,4.12568
14.1277,4.14184
14.1277,4.15849
14.1277,4.17552
14.1277,4.19312
14.1277,4.20823
14.1277,4.22666
14.1277,4.24354
14.1277,4.25936
14.1277,4.27596
14.1233,4.29183
14.1233,4.30972
14.1233,4.32569
14.1233,4.34149
14.1233,4.35868
14.1233,4.37583
14.1233,4.39215
14.1233,4.40895
14.1233,4.42513
14.1233,4.44178
14.1233,4.45882
14.1233,4.47666
14.1233,4.49187
14.1233,4.51014
14.1233,4.52666
14.1233,4.54288
14.1233,4.55961
14.1233,4.57563
14.1233,4.59341
14.1233,4.60906
14.1233,4.62712
14.1233,4.64218
14.1233,4.65906
14.1233,4.67547
14.1233,4.69224
14.1233,4.70822
14.1233,4.72546
14.1233,4.74225
14.1233,4.76007
14.1233,4.77503
14.1233,4.79348
14.1233,4.80826
14.1233,4.82623
14.1233,4.84298
14.1233,4.85891
14.1233,4.87665
14.1233,4.89255
14.1233,4.90839
14.1233,4.9258
14.1233,4.94266
14.1233,4.95925
14.1233,4.97617
14.1233,4.99184
14.1233,5.00904
14.1233,5.02589
14.1233,5.04158
14.1233,5.05841
14.1233,5.07516
14.1233,5.09184
14.1233,5.10986
14.1233,5.12671
14.1233,5.14253
14.1233,5.15822
14.1233,5.17624
14.1233,5.19176
14.1233,5.20907
14.1233,5.22599
14.1233,5.24267
14.1233,5.25979
14.1233,5.27536
14.1233,5.29234
14.1233,5.30923
14.1233,5.32507
14.1233,5.34187
14.1233,5.35861
14.1233,5.37546
14.1233,5.39371
14.1233,5.41047
14.1233,5.42656
14.1233,5.44195
14.1233,5.45994
14.1233,5.47553
14.1233,5.49271
14.1233,5.50978
14.1233,5.52608
