flower,time
0,0.000126357
0,0.0017429
0,0.00826147
0,0.0240962
0,0.0416289
0,0.0579833
0,0.0731371
0,0.0908204
0,0.106049
0,0.123006
0,0.141628
0,0.156145
0,0.173178
0,0.189637
0,0.207982
0,0.222759
0,0.239942
0,0.257185
0,0.273258
0,0.290338
0,0.306372
0,0.324086
0,0.340088
0,0.356096
0,0.37463
0,0.390046
0,0.40746
0,0.424538
0,0.440338
0,0.457049
0,0.474125
0,0.491108
0,0.507077
0,0.524268
0,0.539388
0,0.557801
0,0.572734
0,0.590032
0,0.60639
0,0.622977
0,0.63987
0,0.65695
0,0.673563
0,0.689945
0,0.708036
0,0.723325
0,0.741239
0,0.756465
0,0.7728
0,0.790478
0,0.807498
0,0.823147
0,0.839744
0,0.856229
0,0.874271
0,0.891736
0,0.907872
0,0.922849
0,0.941022
0,0.956201
0,0.973804
0,0.989645
0,1.00674
0,1.02294
0,1.04098
0,1.05743
0,1.07455
0,1.09029
0,1.10673
0,1.12287
0,1.13994
0,1.15673
0,1.17393
0,1.19104
0,1.20622
0,1.22368
0,1.24045
0,1.25698
0,1.27272
0,1.28951
0,1.30781
0,1.3244
0,1.34033
0,1.35763
0,1.37316
0,1.3906
0,1.40732
0,1.42282
0,1.44182
0,1.45678
0,1.47393
0,1.48946
12.1541,1.50639
12.1541,1.52317
12.1541,1.54043
12.1541,1.55663
12.1541,1.57291
12.1541,1.59037
12.1541,1.60706
12.1541,1.62474
12.1541,1.64004
12.1541,1.65757
12.1541,1.67287
12.1541,1.68985
12.1541,1.70607
12.1541,1.72275
12.1541,1.74073
12.1541,1.75774
12.1541,1.77324
12.1541,1.79023
12.1541,1.80648
12.1541,1.8244
12.1541,1.84061
12.1541,1.85651
12.1541,1.87401
12.1541,1.89094
12.1541,1.90644
12.1541,1.92543
12.1541,1.94062
12.1541,1.95774
12.1541,1.9748
12.1541,1.98948
12.1541,2.0063
12.1541,2.02433
12.1541,2.04125
12.1541,2.05664
12.1541,2.07376
12.1541,2.08951
12.1541,2.10744
12.1541,2.12343
12.1541,2.13952
12.1541,2.15712
12.1541,2.17372
12.1541,2.19174
12.1541,2.20886
12.1541,2.22456
12.1541,2.23971
12.1541,2.25658
12.1541,2.27286
12.1541,2.28975
12.1541,2.30721
12.1541,2.32436
12.1541,2.33974
12.1541,2.3568
12.1541,2.37439
12.1541,2.39117
12.1541,2.40666
12.1541,2.42398
12.1541,2.43971
12.1541,2.45717
12.1541,2.47381
12.1541,2.48964
12.1541,2.50848
12.1541,2.5232
12.1541,2.54017
12.1541,2.55701
12.1541,2.57306
12.1541,2.5919
12.1541,2.60714
12.1541,2.623
12.1541,2.63949
12.1541,2.65714
12.1541,2.67381
12.1541,2.69175
12.1541,2.70662
12.1541,2.72411
12.1541,2.74122
12.1541,2.75767
12.1541,2.77289
12.1541,2.78989
12.1541,2.80687
12.1541,2.82384
12.1541,2.84053
12.1541,2.85653
12.1541,2.87317
12.1541,2.89067
12.1541,2.90662
14.0786,2.92278
