flower,time
0,0.000130761
0,0.00174394
0,0.0191098
0,0.0343498
0,0.0511996
0,0.0673925
0,0.084365
0,0.101619
0,0.117449
0,0.135236
0,0.152251
0,0.167123
0,0.184968
0,0.203203
0,0.217224
0,0.234909
0,0.251159
0,0.267985
0,0.285199
0,0.301357
0,0.319062
0,0.334385
0,0.352877
0,0.368784
0,0.384158
0,0.400856
0,0.417324
0,0.433761
0,0.451034
0,0.467661
0,0.483738
0,0.501219
0,0.517939
0,0.534563
0,0.551547
0,0.567309
0,0.583967
0,0.60218
0,0.617985
0,0.63524
0,0.650689
0,0.667493
0,0.685779
0,0.702413
0,0.717445
0,0.735585
0,0.751394
0,0.768181
0,0.784
0,0.800604
0,0.818694
0,0.836631
0,0.851897
0,0.867382
0,0.885658
0,0.900837
0,0.918915
0,0.935249
0,0.95058
0,0.968518
0,0.983981
0,1.00124
0,1.01772
0,1.03517
0,1.05076
0,1.06741
0,1.08405
0,1.10221
0,1.1182
0,1.13529
0,1.15113
0,1.16721
0,1.1843
0,1.20148
0,1.21737
0,1.23496
0,1.2512
0,1.26851
0,1.28461
0,1.30184
0,1.31802
0,1.3339
0,1.35089
0,1.36799
0,1.38459
0,1.40082
0,1.41785
0,1.43453
0,1.45078
0,1.46917
0,1.48499
0,1.5019
0,1.51726
11.8885,1.53383
11.8885,1.55213
11.8885,1.56811
11.8885,1.58507
11.8885,1.60056
11.8885,1.61868
11.8885,1.63563
11.8885,1.65184
11.8885,1.66985
11.8885,1.68518
11.8885,1.70098
11.8885,1.71813
11.8885,1.73427
11.8885,1.75203
11.8885,1.76906
11.8885,1.785
11.8885,1.80103
11.8885,1.81786
11.8885,1.83408
11.8885,1.85108
11.8885,1.87009
11.8885,1.88525
11.8885,1.90143
11.8885,1.91724
11.8885,1.93418
11.8885,1.95083
11.8885,1.969
11.8885,1.98377
11.8885,2.00217
11.8885,2.0182
11.8885,2.03452
11.8885,2.0505
11.8885,2.06712
11.8885,2.08532
11.8885,2.10204
11.8885,2.11802
11.8885,2.13655
11.8885,2.15094
11.8885,2.1676
11.8885,2.18441
11.8885,2.20059
11.8885,2.21758
11.8885,2.23663
11.8885,2.25049
11.8885,2.26862
11.8885,2.28448
11.8885,2.30077
11.8885,2.31721
11.8885,2.33675
11.8885,2.35166
11.8885,2.36979
11.8885,2.38457
11.8885,2.4023
11.8885,2.41829
11.8885,2.43541
11.8885,2.45128
11.8885,2.46874
11.8885,2.485
11.8885,2.50062
11.8885,2.51752
11.8885,2.53378
11.8885,2.55093
11.8885,2.56837
11.8885,2.58405
11.8885,2.60068
11.8885,2.61843
11.8885,2.63447
11.8885,2.65199
11.8885,2.66759
11.8885,2.68647
11.8885,2.70191
11.8885,2.71757
11.8885,2.7344
11.8885,2.75086
11.8885,2.76791
11.8885,2.78409
11.8885,2.80086
11.8885,2.81829
11.8885,2.83452
11.8885,2.85069
11.8885,2.86791
11.8885,2.88568
11.8885,2.90048
11.8885,2.9174
11.8885,2.9352
11.8885,2.95219
11.8885,2.96761
13.7687,2.98549
13.7687,3.00238
13.7687,3.01832
13.7687,3.03423
13.7687,3.05211
13.7687,3.06833
13.7687,3.08531
13.7687,3.10078
13.7687,3.12021
13.7687,3.13561
13.7687,3.15149
13.7687,3.16845
13.7687,3.184
13.7687,3.20127
13.7687,3.21843
13.7687,3.23434
13.7687,3.25063
13.7687,3.26744
13.7687,3.28654
13.7687,3.30112
13.7687,3.31841
13.7687,3.33516
13.7687,3.35145
13.7687,3.3672
13.7687,3.38417
13.7687,3.40081
13.7687,3.41885
13.7687,3.43671
13.7687,3.4517
13.7687,3.46769
13.7687,3.48663
13.7687,3.50217
13.7687,3.51908
13.7687,3.53487
13.7687,3.55119
13.7687,3.56729
13.7687,3.58532
13.7687,3.60234
13.7687,3.61777
13.7687,3.63556
13.7687,3.6509
13.7687,3.66872
13.7687,3.68464
