miranda,time
0,0.000169788
0,0.00186597
0,0.0192489
0,0.0355974
0,0.052076
0,0.0687865
0,0.0852944
0,0.101875
0,0.119075
0,0.135613
0,0.154105
0,0.169849
0,0.18582
0,0.201876
0,0.220929
0,0.235512
0,0.254338
0,0.269355
0,0.287615
0,0.302433
0,0.318769
0,0.337003
0,0.353723
0,0.369784
0,0.386566
0,0.401794
0,0.419116
0,0.435359
0,0.452767
0,0.469544
0,0.485697
0,0.503659
0,0.519423
0,0.537105
0,0.551913
0,0.568912
0,0.585578
0,0.601994
0,0.620073
0,0.635953
0,0.653348
0,0.668612
0,0.686798
0,0.703627
0,0.719275
0,0.735679
0,0.754044
0,0.768988
0,0.785067
0,0.803479
0,0.818612
0,0.835294
0,0.852795
0,0.8687
0,0.886979
0,0.904378
0,0.920267
0,0.935339
0,0.951923
0,0.968694
0,0.986295
0,1.00214
0,1.01981
0,1.0371
0,1.05229
0,1.06846
0,1.08665
0,1.10279
0,1.11863
0,1.13643
0,1.15191
0,1.16898
0,1.18571
14.9247,1.20358
14.9247,1.22045
14.9247,1.2356
14.9247,1.25377
14.9247,1.26986
14.9247,1.28545
14.9247,1.30331
14.9247,1.31859
14.9247,1.33562
14.9247,1.35206
14.9247,1.36973
14.9247,1.38695
14.9247,1.40197
14.9247,1.41851
14.9247,1.43755
14.9247,1.45323
14.9247,1.46953
14.9247,1.48701
14.9247,1.50406
14.9247,1.51888
14.9247,1.53694
14.9247,1.55217
14.9247,1.56861
14.9247,1.58568
14.9247,1.60205
14.9247,1.61988
14.9247,1.63611
14.9247,1.65366
14.9247,1.66842
14.9247,1.68524
14.9247,1.70335
14.9247,1.71952
14.9247,1.73541
14.9247,1.75204
14.9247,1.76947
14.9247,1.78551
14.9247,1.80179
14.9247,1.81877
14.9247,1.83591
14.9247,1.85205
14.9247,1.86906
14.9247,1.88553
14.9247,1.90262
14.9247,1.91919
14.9247,1.93659
14.9247,1.95229
14.9247,1.96969
14.9247,1.98675
14.9247,2.00253
14.9247,2.01848
14.9247,2.0363
14.9247,2.05267
14.9247,2.06956
14.9247,2.08612
14.9247,2.10354
14.9247,2.11876
14.9247,2.13518
14.9247,2.15308
14.9247,2.17046
14.9247,2.18534
14.9247,2.20313
14.9247,2.21956
14.9247,2.23535
14.9247,2.25227
14.9247,2.26963
14.9247,2.2854
17.9507,2.30365
17.9507,2.31877
17.9507,2.3362
17.9507,2.35187
17.9507,2.37084
17.9507,2.38688
17.9507,2.40252
17.9507,2.41889
17.9507,2.43616
17.9507,2.4532
17.9507,2.46876
17.9507,2.48662
17.9507,2.50414
17.9507,2.51854
17.9507,2.53768
17.9507,2.55374
17.9507,2.56945
17.9507,2.58516
17.9507,2.60255
17.9507,2.61942
17.9507,2.6356
17.9507,2.65375
17.9507,2.66856
17.9507,2.6853
17.9507,2.7018
17.9507,2.72084
17.9507,2.73633
17.9507,2.75355
17.9507,2.76892
17.9507,2.78575
17.9507,2.80192
17.9507,2.82006
17.9507,2.83546
17.9507,2.85198
17.9507,2.86852
17.9507,2.88741
17.9507,2.90289
17.9507,2.91917
17.9507,2.93648
17.9507,2.95356
17.9507,2.96865
17.9507,2.98676
17.9507,3.00195
17.9507,3.01854
17.9507,3.03739
17.9507,3.05351
17.9507,3.06892
17.9507,3.08737
17.9507,3.10273
17.9507,3.1197
17.9507,3.13557
17.9507,3.15406
17.9507,3.16854
17.9507,3.18531
17.9507,3.20182
17.9507,3.21931
17.9507,3.23524
17.9507,3.25265
17.9507,3.27013
17.9507,3.28698
17.9507,3.30203
17.9507,3.32021
17.9507,3.33533
17.9507,3.35221
17.9507,3.36907
17.9507,3.38548
17.9507,3.40206
17.9498,3.42
17.9498,3.43542
17.9498,3.45182
17.9498,3.46862
17.9498,3.487
17.9498,3.50313
17.9498,3.51896
17.9498,3.5356
17.9498,3.55293
17.9498,3.56864
17.9498,3.58534
17.9498,3.60232
17.9498,3.61904
17.9498,3.63528
17.9498,3.65365
17.9498,3.66975
17.9498,3.68581
17.9498,3.70408
17.9498,3.71925
17.9498,3.73695
17.9498,3.75202
17.9498,3.76896
17.9498,3.78563
17.9498,3.80193
17.9498,3.8204
17.9498,3.83654
17.9498,3.85228
17.9498,3.86956
17.9498,3.88678
17.9498,3.90238
17.9498,3.92037
17.9498,3.93515
17.9498,3.95187
17.9498,3.9689
17.9498,3.98693
17.9498,4.00189
17.9498,4.01875
17.9498,4.03686
17.9498,4.05294
17.9498,4.0699
17.9498,4.08646
17.9498,4.10408
17.9498,4.11897
17.9498,4.13534
17.9498,4.15324
17.9498,4.17022
17.9498,4.18529
17.9498,4.20404
17.9498,4.21997
17.9498,4.23546
17.9498,4.25236
17.9498,4.26971
17.9498,4.28513
17.9498,4.30251
17.9498,4.31926
17.9498,4.33693
17.9498,4.35208
