miranda,time
0,0.000185246
0,0.00205188
0,0.0156172
0,0.0320842
0,0.049366
0,0.0668242
0,0.0832955
0,0.0989216
0,0.116858
0,0.131937
0,0.149221
0,0.16695
0,0.18321
0,0.199826
0,0.215772
0,0.232844
0,0.249085
0,0.265465
0,0.282142
0,0.298338
0,0.316125
0,0.331701
0,0.350668
0,0.366111
0,0.381911
0,0.398279
0,0.416943
0,0.431812
0,0.448583
0,0.465273
0,0.48406
0,0.499551
0,0.514991
0,0.532977
0,0.549462
0,0.566315
0,0.584613
0,0.600162
0,0.615198
0,0.63215
0,0.649248
0,0.665525
0,0.683432
0,0.698371
0,0.716237
0,0.733075
0,0.749009
0,0.766755
0,0.782351
0,0.799053
0,0.815434
0,0.833181
0,0.848288
0,0.865046
0,0.882721
0,0.898629
0,0.916711
0,0.932482
0,0.950694
0,0.965747
0,0.982304
0,0.999806
0,1.01648
0,1.03217
0,1.04924
0,1.06779
0,1.0817
0,1.09836
0,1.11568
0,1.13215
0,1.14923
0,1.16523
0,1.18275
0,1.19838
14.5201,1.21644
14.5201,1.23228
14.5201,1.2493
14.5201,1.26552
14.5201,1.28194
14.5201,1.29836
14.5201,1.31595
14.5201,1.33189
14.5201,1.34912
14.5201,1.36628
14.5201,1.38233
14.5201,1.39859
14.5201,1.41696
14.5201,1.43226
14.5201,1.45009
14.5201,1.46535
14.5201,1.48344
14.5201,1.49995
14.5201,1.51557
14.5201,1.53272
14.5201,1.54897
14.5201,1.56532
14.5201,1.58366
14.5201,1.5995
14.5201,1.61513
14.5201,1.63252
14.5201,1.64954
14.5201,1.66591
14.5201,1.68338
14.5201,1.70055
14.5201,1.71566
14.5201,1.732
14.5201,1.7484
14.5201,1.76608
14.5201,1.78278
14.5201,1.8002
14.5201,1.81775
14.5201,1.83328
14.5201,1.84836
14.5201,1.86498
14.5201,1.88221
14.5201,1.89943
14.5201,1.9179
14.5201,1.93276
14.5201,1.94965
14.5201,1.96777
14.5201,1.98182
14.5201,1.99911
14.5201,2.01506
14.5201,2.03356
14.5201,2.04909
14.5201,2.06618
14.5201,2.0828
14.5201,2.09903
14.5201,2.11581
14.5201,2.13308
14.5201,2.14979
14.5201,2.16671
14.5201,2.18191
14.5201,2.19842
14.5201,2.21566
14.5201,2.2327
14.5201,2.2499
14.5201,2.26746
14.5201,2.28198
14.5201,2.29859
14.5201,2.31519
17.8649,2.33308
17.8649,2.3503
17.8649,2.36754
17.8649,2.38179
17.8649,2.39846
17.8649,2.41698
17.8649,2.43185
17.8649,2.4489
17.8649,2.46585
17.8649,2.48251
17.8649,2.50114
17.8649,2.51562
17.8649,2.53205
17.8649,2.54846
17.8649,2.56786
17.8649,2.58323
17.8649,2.59872
17.8649,2.61772
17.8649,2.63197
17.8649,2.64912
17.8649,2.66603
17.8649,2.68257
17.8649,2.69912
17.8649,2.71674
17.8649,2.73176
17.8649,2.75008
17.8649,2.76575
17.8649,2.78296
17.8649,2.7984
17.8649,2.81569
17.8649,2.83241
17.8649,2.84934
17.8649,2.86622
17.8649,2.88291
17.8649,2.89989
17.8649,2.91584
17.8649,2.93179
17.8649,2.94979
17.8649,2.96524
17.8649,2.98204
17.8649,2.99838
17.8649,3.01645
17.8649,3.03266
17.8649,3.04992
17.8649,3.06681
17.8649,3.08361
17.8649,3.10111
17.8649,3.11554
17.8649,3.1336
17.8649,3.14848
17.8649,3.16661
17.8649,3.18192
17.8649,3.19828
17.8649,3.21768
17.8649,3.23287
17.8649,3.24893
17.8649,3.26629
17.8649,3.28316
17.8649,3.29993
17.8649,3.31642
17.8649,3.3335
17.8649,3.34872
17.8649,3.36674
17.8649,3.38351
17.8649,3.39933
17.8649,3.41508
18.4095,3.43358
18.4095,3.44891
18.4095,3.4652
18.4095,3.48191
18.4095,3.50006
18.4095,3.5164
18.4095,3.53181
18.4095,3.55122
18.4095,3.56765
18.4095,3.58237
18.4095,3.60132
18.4095,3.61635
18.4095,3.63302
18.4095,3.6496
18.4095,3.66514
18.4095,3.6824
18.4095,3.70032
18.4095,3.71557
18.4095,3.73183
18.4095,3.74889
18.4095,3.76637
18.4095,3.78241
18.4095,3.79899
18.4095,3.81524
18.4095,3.83315
18.4095,3.84888
18.4095,3.86529
18.4095,3.88349
18.4095,3.89966
18.4095,3.91541
18.4095,3.9332
18.4095,3.95011
18.4095,3.96667
18.4095,3.98246
18.4095,3.99836
18.4095,4.0168
18.4095,4.03262
18.4095,4.04838
18.4095,4.06615
18.4095,4.08311
18.4095,4.09865
18.4095,4.11625
18.4095,4.13358
18.4095,4.14923
18.4095,4.16697
18.4095,4.18357
18.4095,4.20009
18.4095,4.21515
18.4095,4.23319
18.4095,4.24846
18.4095,4.26638
18.4095,4.28214
18.4095,4.30006
18.4095,4.31701
18.4095,4.33362
18.4095,4.34903
18.4095,4.36581
18.4095,4.38265
18.4095,4.3998
18.4095,4.41532
18.4095,4.43328
18.4095,4.44993
18.4095,4.4654
19.0016,4.48391
19.0016,4.4985
19.0016,4.51541
19.0016,4.5325
19.0016,4.54984
19.0016,4.56518
19.0016,4.58236
19.0016,4.59884
19.0016,4.61547
19.0016,4.63457
19.0016,4.64974
19.0016,4.66576
19.0016,4.68236
19.0016,4.70039
19.0016,4.71569
19.0016,4.7319
19.0016,4.74997
19.0016,4.76522
19.0016,4.783
19.0016,4.79931
19.0016,4.8151
19.0016,4.83244
19.0016,4.8493
19.0016,4.86588
19.0016,4.88368
19.0016,4.89997
19.0016,4.91678
19.0016,4.93168
19.0016,4.94956
19.0016,4.96611
19.0016,4.98185
19.0016,5.00033
19.0016,5.01796
19.0016,5.03228
19.0016,5.0485
19.0016,5.06811
19.0016,5.08187
19.0016,5.10009
19.0016,5.11647
19.0016,5.13228
19.0016,5.14877
19.0016,5.1652
19.0016,5.18204
19.0016,5.20117
19.0016,5.2164
19.0016,5.23188
19.0016,5.24964
19.0016,5.26551
19.0016,5.28239
19.0016,5.3003
19.0016,5.31659
19.0016,5.33172
19.0016,5.34859
19.0016,5.36555
19.0016,5.38218
19.0016,5.40119
19.0016,5.4163
19.0016,5.43184
19.0016,5.44974
19.0016,5.46543
19.0016,5.48178
19.6646,5.50109
19.6646,5.51625
