miranda,time
0,0.000648001
0,0.00342464
0,0.0170646
0,0.0334883
0,0.050311
0,0.0682283
0,0.0836176
0,0.100103
0,0.117083
0,0.133805
0,0.150798
0,0.169334
0,0.184502
0,0.200428
0,0.216955
0,0.233703
0,0.251492
0,0.26826
0,0.283589
0,0.300613
0,0.317297
0,0.333646
0,0.350469
0,0.367795
0,0.384457
0,0.401564
0,0.417538
0,0.433643
0,0.450559
0,0.468328
0,0.483879
0,0.500501
29.6034,0.517369
29.6034,0.53418
29.6034,0.550517
29.6034,0.567618
29.6034,0.584346
29.6034,0.600167
29.6034,0.617271
29.6034,0.634235
29.6034,0.6505
29.6034,0.6671
29.6034,0.683546
29.6034,0.700197
29.6034,0.716777
29.6034,0.733625
29.6034,0.750126
29.6034,0.768125
29.6034,0.785437
29.6034,0.800163
29.6034,0.817268
29.6034,0.835325
29.6034,0.85013
29.6034,0.867201
29.6034,0.883471
29.6034,0.90035
29.6034,0.916825
29.6034,0.933659
29.6034,0.951073
29.6034,0.967071
29.6034,0.98478
29.6034,1.00018
40.749,1.01732
40.749,1.03356
40.749,1.05051
40.749,1.06681
40.749,1.08345
40.749,1.10055
40.749,1.11766
40.749,1.13411
40.749,1.15056
40.749,1.16708
40.749,1.18352
40.749,1.20162
40.749,1.21689
40.749,1.23403
40.749,1.25034
40.749,1.26693
40.749,1.28375
40.749,1.30101
40.749,1.3175
40.749,1.33445
40.749,1.35048
40.749,1.36759
40.749,1.38345
40.749,1.40052
40.749,1.41671
40.749,1.43336
40.749,1.45136
40.749,1.4671
40.749,1.48368
40.9061,1.50025
40.9061,1.51831
40.9061,1.53369
40.9061,1.55051
40.9061,1.56715
40.9061,1.58391
40.9061,1.60077
40.9061,1.61729
40.9061,1.63369
40.9061,1.65037
40.9061,1.66724
40.9061,1.68417
40.9061,1.70035
40.9061,1.7169
40.9061,1.73495
40.9061,1.7502
40.9061,1.76804
40.9061,1.78395
40.9061,1.80015
40.9061,1.81812
40.9061,1.83353
40.9061,1.85037
40.9061,1.86721
40.9061,1.88473
40.9061,1.90133
40.9061,1.91702
40.9061,1.93431
40.9061,1.95028
40.9061,1.9669
40.9454,1.98413
40.9454,2.00009
40.9454,2.01737
40.9454,2.03498
40.9454,2.05016
40.9454,2.06696
40.9454,2.08346
40.9454,2.10007
40.9454,2.11682
40.9454,2.13358
40.9454,2.15185
40.9454,2.16705
40.9454,2.1839
40.9454,2.20055
40.9454,2.21732
40.9454,2.23409
40.9454,2.25031
40.9454,2.26683
40.9454,2.28348
40.9454,2.30055
40.9454,2.3175
40.9454,2.33376
40.9454,2.3501
40.9454,2.36759
40.9454,2.38442
40.9454,2.40053
40.9454,2.41698
40.9454,2.43397
40.9454,2.45077
40.9454,2.46717
40.9334,2.48419
40.9334,2.50072
40.9334,2.51754
40.9334,2.53368
40.9334,2.55042
40.9334,2.56824
40.9334,2.58361
40.9334,2.60034
40.9334,2.61713
40.9334,2.6335
40.9334,2.65016
40.9334,2.66721
40.9334,2.68435
40.9334,2.70038
40.9334,2.71705
40.9334,2.73371
40.9334,2.75034
40.9334,2.76696
40.9334,2.78358
40.9334,2.80036
40.9334,2.817
40.9334,2.83403
40.9334,2.8505
40.9334,2.86719
40.9334,2.88435
40.9334,2.90011
40.9334,2.91741
40.9334,2.93444
40.9334,2.95097
40.9345,2.96682
40.9345,2.98486
40.9345,3.0009
40.9345,3.01743
40.9345,3.03393
40.9345,3.05019
40.9345,3.0669
40.9345,3.08411
40.9345,3.10035
40.9345,3.11717
40.9345,3.13368
40.9345,3.15034
40.9345,3.1669
40.9345,3.18373
40.9345,3.20014
40.9345,3.21692
40.9345,3.23466
40.9345,3.25013
40.9345,3.26688
40.9345,3.28353
40.9345,3.30119
40.9345,3.31757
40.9345,3.33343
40.9345,3.3505
40.9345,3.36696
40.9345,3.38373
40.9345,3.40034
40.9345,3.4172
40.9345,3.43363
41.398,3.45151
41.398,3.46694
41.398,3.48363
41.398,3.50028
41.398,3.51759
41.398,3.53349
41.398,3.55038
41.398,3.56753
41.398,3.58345
41.398,3.60026
41.398,3.61759
41.398,3.63365
41.398,3.65038
41.398,3.6669
41.398,3.68358
41.398,3.70126
41.398,3.71732
41.398,3.73529
41.398,3.75023
41.398,3.76726
41.398,3.78442
41.398,3.80021
41.398,3.81805
41.398,3.83528
41.398,3.85034
41.398,3.86708
41.398,3.8849
41.398,3.90022
41.398,3.91713
40.9075,3.93397
40.9075,3.95084
40.9075,3.96696
40.9075,3.98353
40.9075,4.00093
40.9075,4.01742
40.9075,4.03353
40.9075,4.05162
40.9075,4.06705
40.9075,4.08361
40.9075,4.10042
40.9075,4.11776
40.9075,4.13373
40.9075,4.15155
40.9075,4.16679
40.9075,4.18388
40.9075,4.20019
40.9075,4.21683
40.9075,4.23366
40.9075,4.25142
40.9075,4.26707
40.9075,4.28366
40.9075,4.30031
40.9075,4.31823
40.9075,4.33364
40.9075,4.35055
40.9075,4.36848
40.9075,4.3837
40.9075,4.40041
41.4633,4.4173
41.4633,4.43384
41.4633,4.45055
41.4633,4.4672
41.4633,4.48361
41.4633,4.50013
41.4633,4.51702
41.4633,4.53371
41.4633,4.55117
41.4633,4.56717
41.4633,4.58408
41.4633,4.60051
41.4633,4.6168
41.4633,4.63416
41.4633,4.65053
41.4633,4.66734
41.4633,4.68361
41.4633,4.70029
41.4633,4.71717
41.4633,4.73349
41.4633,4.75089
41.4633,4.76699
41.4633,4.78355
41.4633,4.80081
41.4633,4.81698
41.4633,4.8336
41.4633,4.85056
41.4633,4.86776
41.4633,4.88365
41.3337,4.90046
41.3337,4.91705
41.3337,4.93361
41.3337,4.95071
41.3337,4.96779
41.3337,4.98399
41.3337,5.00028
41.3337,5.01693
41.3337,5.03368
41.3337,5.05053
41.3337,5.06749
41.3337,5.08409
41.3337,5.10061
41.3337,5.11876
41.3337,5.13365
41.3337,5.15018
41.3337,5.16694
41.3337,5.18368
41.3337,5.20032
41.3337,5.21689
41.3337,5.23355
41.3337,5.25025
41.3337,5.26835
41.3337,5.28387
41.3337,5.3004
41.3337,5.31713
41.3337,5.33375
41.3337,5.35151
41.3337,5.36826
41.3337,5.38459
40.2753,5.40058
40.2753,5.4174
40.2753,5.43355
40.2753,5.4504
40.2753,5.46816
40.2753,5.4836
40.2753,5.50016
40.2753,5.51737
40.2753,5.53434
40.2753,5.55076
40.2753,5.56728
40.2753,5.58434
40.2753,5.6003
40.2753,5.61696
40.2753,5.63421
40.2753,5.65027
40.2753,5.66689
40.2753,5.68386
40.2753,5.70032
40.2753,5.71691
40.2753,5.73478
40.2753,5.75023
40.2753,5.7671
40.2753,5.78486
40.2753,5.80022
40.2753,5.81695
40.2753,5.8341
40.2753,5.85089
40.2753,5.86685
41.2298,5.88368
41.2298,5.90039
41.2298,5.91732
41.2298,5.93422
41.2298,5.95103
41.2298,5.96714
41.2298,5.98369
41.2298,6.00018
41.2298,6.01795
41.2298,6.03387
41.2298,6.05038
41.2298,6.06716
41.2298,6.0848
41.2298,6.10163
41.2298,6.11776
41.2298,6.13353
41.2298,6.15056
41.2298,6.16784
41.2298,6.1842
41.2298,6.2009
41.2298,6.21688
41.2298,6.23394
41.2298,6.25089
41.2298,6.26701
41.2298,6.28469
41.2298,6.30128
41.2298,6.31766
41.2298,6.33474
41.2298,6.35147
41.2298,6.36757
40.5322,6.38373
40.5322,6.40149
40.5322,6.41684
40.5322,6.43461
40.5322,6.45048
40.5322,6.46691
40.5322,6.48379
40.5322,6.50075
40.5322,6.51714
40.5322,6.53384
40.5322,6.55044
40.5322,6.56729
40.5322,6.58466
40.5322,6.60061
40.5322,6.61882
40.5322,6.63366
40.5322,6.65068
40.5322,6.66683
40.5322,6.68365
40.5322,6.70025
40.5322,6.71834
40.5322,6.73368
40.5322,6.75046
40.5322,6.76698
40.5322,6.78357
40.5322,6.80042
40.5322,6.81714
40.5322,6.83448
40.5322,6.85087
40.5016,6.86767
40.5016,6.8838
40.5016,6.90064
40.5016,6.91701
40.5016,6.93472
40.5016,6.95104
40.5016,6.96766
40.5016,6.98456
40.5016,7.00046
40.5016,7.01747
40.5016,7.03378
40.5016,7.05045
40.5016,7.06685
40.5016,7.08351
40.5016,7.10061
