richtmyer,time
0,0.000152136
0,0.00195007
0,0.0142218
0,0.030592
0,0.0489553
0,0.0662544
0,0.0805473
0,0.0973633
0,0.115239
0,0.131898
0,0.149302
0,0.165961
0,0.18103
0,0.198507
0,0.214809
0,0.231962
0,0.24846
0,0.264899
0,0.281746
0,0.297324
0,0.315259
0,0.331975
0,0.347467
0,0.364979
0,0.382179
0,0.397931
0,0.41444
0,0.431487
0,0.44955
0,0.463983
0,0.480779
0,0.499128
0,0.515966
0,0.531163
0,0.547537
0,0.564043
0,0.581772
0,0.597917
0,0.614705
0,0.631396
0,0.648055
0,0.665332
0,0.681308
0,0.697416
0,0.715532
0,0.73104
0,0.747615
0,0.764691
0,0.781726
0,0.798646
0,0.814974
0,0.831088
0,0.847593
0,0.864235
0,0.881156
0,0.898076
0,0.915074
0,0.932163
18.1602,0.948497
18.1602,0.964287
18.1602,0.981532
18.1602,0.998757
18.1602,1.0151
18.1602,1.03327
18.1602,1.04858
18.1602,1.06523
18.1602,1.08107
18.1602,1.09851
18.1602,1.11408
18.1602,1.13254
18.1602,1.14884
18.1602,1.16504
18.1602,1.18068
18.1602,1.19788
18.1602,1.21523
18.1602,1.2314
18.1602,1.24951
18.1602,1.26464
18.1602,1.28145
18.1602,1.29914
18.1602,1.31488
18.1602,1.33129
18.1602,1.34745
18.1602,1.36597
18.1602,1.38194
18.1602,1.39957
18.1602,1.41396
18.1602,1.43331
18.1602,1.44763
18.1602,1.46542
18.1602,1.48097
18.1602,1.49818
18.1602,1.51541
18.1602,1.53128
18.1602,1.5487
18.1602,1.56618
18.1602,1.58141
18.1602,1.59792
18.1602,1.61616
18.1602,1.63131
18.1602,1.64889
18.1602,1.66524
18.1602,1.6823
18.1602,1.69754
18.1602,1.71441
18.1602,1.73287
18.1602,1.74953
18.1602,1.76501
18.1602,1.78251
18.1602,1.79741
23.3141,1.8165
23.3141,1.83074
23.3141,1.84892
23.3141,1.86423
23.3141,1.8812
23.3141,1.89841
23.3141,1.91442
23.3141,1.93231
23.3141,1.94749
23.3141,1.96477
23.3141,1.98158
23.3141,1.99977
23.3141,2.01432
23.3141,2.03292
23.3141,2.04921
23.3141,2.06495
23.3141,2.08285
23.3141,2.09746
23.3141,2.1158
23.3141,2.13164
23.3141,2.14759
23.3141,2.16497
23.3141,2.18091
23.3141,2.19728
23.3141,2.21436
23.3141,2.23165
23.3141,2.24901
23.3141,2.26459
23.3141,2.28073
23.3141,2.29848
23.3141,2.31597
23.3141,2.33116
