richtmyer,time
0,0.000185713
0,0.00221947
0,0.0191502
0,0.034774
0,0.0516248
0,0.0675618
0,0.0855185
0,0.10103
0,0.117554
0,0.136045
0,0.151523
0,0.168309
0,0.184473
0,0.202167
0,0.218523
0,0.236051
0,0.251966
0,0.267988
0,0.286031
0,0.300997
0,0.319622
0,0.337082
0,0.352275
0,0.36897
0,0.38585
0,0.401485
0,0.418785
0,0.435508
0,0.45137
0,0.468312
0,0.485307
0,0.501957
0,0.518485
0,0.535165
0,0.551033
0,0.567594
0,0.585205
0,0.601368
0,0.618731
0,0.635168
0,0.651465
0,0.668384
0,0.686345
0,0.702566
0,0.719216
0,0.73662
0,0.752032
0,0.768265
0,0.784697
0,0.800903
0,0.819037
0,0.835297
0,0.851538
0,0.868997
0,0.884753
0,0.900845
0,0.917591
0,0.936002
0,0.951143
17.7564,0.969407
17.7564,0.985441
17.7564,1.00363
17.7564,1.01916
17.7564,1.03533
17.7564,1.05119
17.7564,1.06868
17.7564,1.08593
17.7564,1.10202
17.7564,1.11819
17.7564,1.1354
17.7564,1.15207
17.7564,1.16843
17.7564,1.18445
17.7564,1.20123
17.7564,1.21855
17.7564,1.23587
17.7564,1.25203
17.7564,1.26895
17.7564,1.28562
17.7564,1.30223
17.7564,1.31753
17.7564,1.33616
17.7564,1.35219
17.7564,1.36816
17.7564,1.38456
17.7564,1.40272
17.7564,1.41912
17.7564,1.43535
17.7564,1.45241
17.7564,1.46838
17.7564,1.48464
17.7564,1.50115
17.7564,1.51762
17.7564,1.53495
17.7564,1.55146
17.7564,1.56765
17.7564,1.58463
17.7564,1.60104
17.7564,1.61752
17.7564,1.63596
17.7564,1.65134
17.7564,1.66773
17.7564,1.68407
17.7564,1.70381
17.7564,1.71831
17.7564,1.73481
17.7564,1.75103
17.7564,1.76817
17.7564,1.78601
17.7564,1.80216
17.7564,1.81814
17.7564,1.8348
17.7564,1.85271
22.2339,1.86904
22.2339,1.88534
22.2339,1.90241
22.2339,1.91827
22.2339,1.93474
22.2339,1.9512
22.2339,1.96799
22.2339,1.98472
22.2339,2.00394
22.2339,2.0193
22.2339,2.03691
22.2339,2.05229
22.2339,2.06844
22.2339,2.08492
22.2339,2.10182
22.2339,2.11861
22.2339,2.13465
22.2339,2.15097
22.2339,2.16762
22.2339,2.18605
22.2339,2.20242
22.2339,2.21795
22.2339,2.23549
22.2339,2.25356
22.2339,2.26867
22.2339,2.28479
22.2339,2.3015
22.2339,2.31762
22.2339,2.33581
22.2339,2.35096
22.2339,2.36866
22.2339,2.38595
22.2339,2.40167
22.2339,2.41777
22.2339,2.43481
22.2339,2.45232
22.2339,2.46904
22.2339,2.48472
22.2339,2.5012
22.2339,2.51772
22.2339,2.5348
22.2339,2.55095
22.2339,2.57026
22.2339,2.58601
22.2339,2.60271
22.2339,2.618
22.2339,2.63438
22.2339,2.6508
22.2339,2.66814
22.2339,2.68579
22.2339,2.7027
22.2339,2.7186
22.2339,2.73497
22.2339,2.75177
22.3032,2.76777
22.3032,2.78608
22.3032,2.80135
22.3032,2.81909
22.3032,2.83684
22.3032,2.85146
22.3032,2.86819
22.3032,2.88487
22.3032,2.90356
22.3032,2.9192
22.3032,2.93432
22.3032,2.95185
22.3032,2.96885
22.3032,2.98743
22.3032,3.00085
22.3032,3.01758
22.3032,3.03612
22.3032,3.0525
22.3032,3.06752
22.3032,3.08554
22.3032,3.10218
22.3032,3.11746
22.3032,3.13452
22.3032,3.15115
22.3032,3.16909
22.3032,3.18529
22.3032,3.2012
22.3032,3.21789
22.3032,3.23462
22.3032,3.25275
22.3032,3.26916
22.3032,3.28597
22.3032,3.30198
22.3032,3.3182
22.3032,3.33463
22.3032,3.35126
22.3032,3.36791
22.3032,3.38614
22.3032,3.40235
22.3032,3.41966
22.3032,3.43518
22.3032,3.45123
22.3032,3.46758
22.3032,3.48435
22.3032,3.502
22.3032,3.52026
22.3032,3.53586
22.3032,3.55118
22.3032,3.56924
22.3032,3.58552
22.3032,3.60103
22.3032,3.61759
22.3032,3.63563
22.5792,3.65146
22.5792,3.66779
22.5792,3.68496
22.5792,3.70357
22.5792,3.7193
22.5792,3.73427
22.5792,3.75231
22.5792,3.76862
22.5792,3.78584
22.5792,3.80206
22.5792,3.81829
22.5792,3.83443
22.5792,3.85197
22.5792,3.86893
22.5792,3.88521
22.5792,3.90152
22.5792,3.91779
22.5792,3.93422
22.5792,3.9512
22.5792,3.96898
22.5792,3.98558
22.5792,4.00104
22.5792,4.01795
22.5792,4.03465
22.5792,4.05273
22.5792,4.06887
22.5792,4.08454
22.5792,4.10121
22.5792,4.1178
22.5792,4.136
22.5792,4.15218
22.5792,4.16913
22.5792,4.18531
22.5792,4.20144
22.5792,4.21771
22.5792,4.23463
22.5792,4.25147
22.5792,4.27034
22.5792,4.28577
22.5792,4.30362
22.5792,4.31835
22.5792,4.33477
22.5792,4.35155
22.5792,4.36807
22.5792,4.38587
22.5792,4.40136
22.5792,4.41755
22.5792,4.43436
22.5792,4.45205
22.5792,4.4682
22.5792,4.48593
22.5792,4.50227
22.5792,4.51871
22.7077,4.53444
22.7077,4.55359
22.7077,4.56771
22.7077,4.58577
22.7077,4.60245
22.7077,4.61804
22.7077,4.63416
22.7077,4.65367
22.7077,4.66858
22.7077,4.68464
22.7077,4.70144
22.7077,4.71845
22.7077,4.73609
22.7077,4.75217
22.7077,4.76819
22.7077,4.78469
22.7077,4.80265
22.7077,4.81925
22.7077,4.83442
22.7077,4.8517
22.7077,4.86923
22.7077,4.88464
22.7077,4.90284
22.7077,4.91769
22.7077,4.93555
22.7077,4.9517
22.7077,4.96743
22.7077,4.9872
22.7077,5.0014
22.7077,5.01902
22.7077,5.03533
22.7077,5.05109
22.7077,5.06805
22.7077,5.08508
22.7077,5.1024
22.7077,5.11826
22.7077,5.1349
22.7077,5.15281
22.7077,5.16902
22.7077,5.18463
22.7077,5.20257
22.7077,5.22029
22.7077,5.2348
22.7077,5.25114
22.7077,5.26778
22.7077,5.28604
22.7077,5.30212
22.7077,5.31816
22.7077,5.33732
22.7077,5.3514
22.7077,5.36897
22.7077,5.3851
22.7077,5.40172
22.7589,5.41949
22.7589,5.43595
22.7589,5.45361
22.7589,5.46921
22.7589,5.48496
22.7589,5.5018
22.7589,5.51896
22.7589,5.53494
22.7589,5.55099
22.7589,5.56912
22.7589,5.58475
22.7589,5.60123
22.7589,5.61797
22.7589,5.63583
22.7589,5.65178
22.7589,5.66842
22.7589,5.68696
22.7589,5.70262
22.7589,5.72035
22.7589,5.73571
22.7589,5.75226
22.7589,5.768
22.7589,5.78691
22.7589,5.80144
22.7589,5.8184
22.7589,5.83518
22.7589,5.85262
22.7589,5.86894
22.7589,5.88556
22.7589,5.90143
22.7589,5.9176
22.7589,5.93547
22.7589,5.95161
22.7589,5.96765
22.7589,5.98587
22.7589,6.00201
22.7589,6.01821
22.7589,6.0347
22.7589,6.05229
22.7589,6.0679
22.7589,6.08697
22.7589,6.1022
22.7589,6.11896
22.7589,6.13491
22.7589,6.15216
22.7589,6.16814
22.7589,6.18438
22.7589,6.20241
22.7589,6.21856
22.7589,6.23483
22.7589,6.25145
22.7589,6.26885
22.9136,6.28601
22.9136,6.30207
22.9136,6.318
22.9136,6.33493
22.9136,6.35122
22.9136,6.36855
22.9136,6.38519
22.9136,6.40111
22.9136,6.41916
22.9136,6.43536
22.9136,6.45104
22.9136,6.46797
22.9136,6.48534
22.9136,6.50214
22.9136,6.51824
22.9136,6.53441
22.9136,6.5517
22.9136,6.56799
22.9136,6.5853
22.9136,6.60136
22.9136,6.61764
22.9136,6.63565
22.9136,6.65191
22.9136,6.66903
22.9136,6.68552
22.9136,6.70123
22.9136,6.71923
22.9136,6.73542
22.9136,6.75156
22.9136,6.76834
22.9136,6.78558
22.9136,6.80242
22.9136,6.81847
22.9136,6.83459
22.9136,6.85224
22.9136,6.86844
22.9136,6.88578
22.9136,6.90175
22.9136,6.91812
22.9136,6.93546
